Timer,Factor,cores,Time,Regular
Application,1,1,36.48,36.48
Application,2,1,72.70,36.48
Application,4,1,143.74,36.48
Application,8,1,280.05,36.48
Application,16,1,565.46,36.48
Application,32,1,1130.72,36.48
Application,1,2,36.72,36.72
Application,2,2,84.66,36.72
Application,4,2,162.16,36.72
Application,8,2,316.50,36.72
Application,16,2,636.36,36.72
Application,32,2,1369.73,36.72
Application,1,4,40.22,40.22
Application,2,4,102.36,40.22
Application,4,4,181.79,40.22
Application,8,4,385.26,40.22
Application,16,4,803.11,40.22
Application,32,4,NA,NA